,videoId,updateAt,authorId,cmt,label
0,0Mr3CqCDq3o,2023-03-17 23:40:31,UCxXqheHeXEvfyUC6qQZ1EAA,Hóng quá Anh Nal ơi,0
1,0Mr3CqCDq3o,2023-03-18 00:19:48,UC9D-shABz-5gdKtT0P7N3cQ,Hóng MV nè anh Nal oy,0
2,0Mr3CqCDq3o,2023-03-18 02:09:18,UCFDHLHYbfeu_QnpIs1fcHOA,"Nhanh đi, nhanh đi, hóng quá rồi.",0
3,0Mr3CqCDq3o,2023-03-18 02:53:14,UCLCZpEfx7jHdSskTvZKj39g,Hóng từ tiktok anhh ạ❤,0
4,0Mr3CqCDq3o,2023-03-18 02:59:17,UCTSujSwjCniDKRaUBLkv_nA,Hóng quá nal ơiiiiiii,0
5,0Mr3CqCDq3o,2023-03-18 04:35:59,UCQLc-SqBKwSghKlrposD3fg,chúc anh nal ra thêm nhiều bài cực phẩm như cô đơn dành cho ai,0
6,0Mr3CqCDq3o,2023-03-18 04:38:05,UCg23LixoG0R3HJcStwpw5xg,*MV CHỜ TRÔNG AI HAY QUÁ ĐI ANH NAL ƠI DEMO KHÔNG ĐÃ HAY RỒI HUẤN GÌ FULL BÀI EM RẤT THÍCH NGHE NHẠC CỦA ANH NHẠC CỦA ANH RA BÀI NÀO LÀ HÍT BÀI ĐÓ MONG ANH RA THÊM NHIỀU SẢN PHẨM HÓT TIKTOK HAY HƠN NỮA NHÉ CHÚC MV THÀNH CÔNG TỐT ĐẸP🎉❤️🇻🇳📌*,0
7,0Mr3CqCDq3o,2023-03-18 04:39:59,UCBVfHHvc-z90RLq4tHIJVhg,Chúc anh pé sớm Top 1 nè😍🎉,0
8,0Mr3CqCDq3o,2023-03-18 04:41:21,UCBVfHHvc-z90RLq4tHIJVhg,Đoạn đầu Đk anh Nal có hát trong chương trình Nhanh Như Chớp nè,0
9,0Mr3CqCDq3o,2023-03-18 04:52:30,UCFArfO-fqTLA3xOg6y3wLNw,Chiếu ngay bây giờ luôn đi anh Nal ơi,0
10,0Mr3CqCDq3o,2023-03-18 04:59:37,UCT8VasWL0NsW1PeNs43Gq5A,ok,0
11,0Mr3CqCDq3o,2023-03-18 05:04:05,UCoDGl7K-zhHe1PGLaKqXu6A,Chuẩn bị có hit mới hihi,0
12,0Mr3CqCDq3o,2023-03-18 05:30:14,UCHaxGggfHwwwPNgpoDmrRbw,Mong chờ ah ra luôn bản karaoke luôn ạ❤,0
13,0Mr3CqCDq3o,2023-03-18 05:40:32,UCVv3VhJtGpvsCjiPNeUdG_g,lại một siêu phẩm nữa rồi,0
14,0Mr3CqCDq3o,2023-03-18 06:16:12,UCEpaG3BL_38xtlixz6d5byA,Hóng quá,0
15,0Mr3CqCDq3o,2023-03-18 06:25:27,UCHXrORpcKgpU2kdRYWo_KnA,"2 demo Bài hát hay quá trời 💐💐🌹, chờ lâu lắm mới thấy ra MV, có ngôi nhà quen thuộc ở Củ Chi Tphcm thích rồi đó ❤❤❤, phải like và nghe 100000 lần bài này vì giai điệu quá tuyệt vời 👍💐.",0
16,0Mr3CqCDq3o,2023-03-18 08:11:16,UCVcmfw9_IM62mrj4-TjpSjA,❤❤,0
17,0Mr3CqCDq3o,2023-03-18 08:49:59,UCaCFuaUyDA5RCKuWFaLmD2A,Hóng quá nek😊,0
18,0Mr3CqCDq3o,2023-03-18 08:51:17,UC8OY-Zz85xL65HT6p17NVbQ,Chuẩn bị ngày nào cũng nghe,0
19,0Mr3CqCDq3o,2023-03-18 09:29:50,UCiIQXc9-zY8dJkwyY_4bc1g,Bài Chờ Trong Ai Rất Hay Em Mong Anh Ra Nhạc Hay Hơn Gì Nữa 🎉❤❤,0
20,0Mr3CqCDq3o,2023-03-18 09:34:25,UC5tkCGq5dmUu2szMdeEWJ-w,Chúc sản phẩm mới của em thành công ui mv này có nhỏ e tui đóng à kkk,0
21,0Mr3CqCDq3o,2023-03-18 09:58:56,UCJXK6HLqGpoyx1Oka8HQ3Pw,Hot Top 1 trending 👍👍👍,0
22,0Mr3CqCDq3o,2023-03-18 10:26:59,UCQrbDpSD1LSN3lySqA0mmuQ,Quá hay,0
23,0Mr3CqCDq3o,2023-03-18 10:41:28,UC0gbg5_IqTvXwHuy6W-DVuw,Hóg,0
24,0Mr3CqCDq3o,2023-03-18 11:17:47,UCcU_GFuiVYoM_RgHofRPhYA,Trông bữa giờ,0
25,0Mr3CqCDq3o,2023-03-18 11:31:15,UCktK1K1CKE1rM5lfb9CYmxg,Hóng❤,0
26,0Mr3CqCDq3o,2023-03-18 11:36:57,UCmAkVZ41UkxtWyBC2Pyxzjg,Mới thấy đợi xem coi hay không ủng hộ 100%,0
27,0Mr3CqCDq3o,2023-03-18 11:38:46,UCUpL4eOUSXtkSNXDTgKPpZg,Nữ chính giống chuỵ Chimisu vậy a nal??,0
28,0Mr3CqCDq3o,2023-03-18 11:45:07,UCqXuyEPwN7sUI15_XJ7cgGg,ra mv 3 này triệu lượt xem,0
29,0Mr3CqCDq3o,2023-03-18 11:48:32,UCj2ysQX-jyBsUFpCRjgtqYw,Hóng quá hóng,0
30,0Mr3CqCDq3o,2023-03-18 11:51:37,UCET6lg8Hfbew2BaHR60ImKA,Hãy quá . Đoi mãi,0
31,0Mr3CqCDq3o,2023-03-18 11:57:10,UCnEwBVMn5XEpRPB0ArDL63A,Hót tóp 1 trending luôn,0
32,0Mr3CqCDq3o,2023-03-18 11:58:10,UCUYi6K32eS8uLAh6u-YyXbw,Lót dép hóng ❤❤❤,0
33,0Mr3CqCDq3o,2023-03-18 11:58:13,UCHF36-lwtalGCJQ5KHJRS2Q,👍👍👍👍👍👍👍👍👍👍👍👍😍😍😍,0
34,0Mr3CqCDq3o,2023-03-18 11:58:54,UCWE1mX39bMoVa18N7ENqMsg,A thật tuyệt vời bài nào nghe cũng chill hết...😊😊 ủng hộ anh nal,0
35,0Mr3CqCDq3o,2023-03-18 11:59:40,UCbwOgpAp-3ou2x1GMn0_pDQ,Hay quá anh nal oi,0
36,0Mr3CqCDq3o,2023-03-18 12:00:26,UCkQLegOqIo9cMIgxyLIt2Ig,Lần đầu tiên chơ để nghe ca khúc mới,0
37,0Mr3CqCDq3o,2023-03-18 12:00:57,UCE6heD_3TkGzIRoNmTWkCxQ,Hay quá di😊,0
38,0Mr3CqCDq3o,2023-03-18 12:00:59,UCzq29SEFGQ9SF6JvSa3wLIQ,_Lyric : _*_Cho ai cần_*_ :)_ _Chờ trông ai_ _Đêm nay sáng trăng_ _Không nói không rằng_ _Là anh đi kiếm em_ _Mà tìm em bao năm dài lê thê_ _đường thôn quê nối liền con đê_ _Em mà không chê em về bên anh_  _Mình tung bay đến chân trời bao la_ _Trên làng quê ta ở trong lòng mình hoan ca_  _Bình minh lên_ _Bên hông bến sông_ _Anh ngó qua bờ bên kia anh thấy em_ _Ngồi chờ xem xem thuyền đưa hoa_ _Mà hoà câu ca hai bờ con sông_ Trong lòng phơi phới ơi hò hò ơi_  _Thương anh tâm hồn tươi xanh_ _Anh nghèo không có ngôi nhà mong manh_  _Đk :_ _Trời cho anh thêm nổi nhớ_ _Vô bờ cả đời mong chờ_ _Vắng em đêm nằm ngủ mơ_ _Anh nhớ em nguyên ngày ngẩn ngơ_  _Người ơi anh thương người nhất_ _Trên đời những lời tâm tình_ _Sớm hôm không còn lặng thinh_ _Anh tính cho đôi mình bền lâu_  _Cầu xây xong lâu nay không thấy qua_ _Em có trao quà_ _Nhưng không đưa tới tay_ _Mà thầm mong cho em đừng thương ai_ _Ngoài anh ra_ _Ngôi nhà tương lai_ _Nghe bài ca vui đó thơm mùi hương quê_  _Rap :_ _Có cô em bên sông đang dịu dàng tương tư_ _Mặc cho anh đây ngóng đợi lâu rồi nè_ _Thương ghê_ _Thương em rồi nhớ những lúc chèo ghe_ _Khi ghe cập bến cái té bờ sông_ _Khi không còn thấy bóng em anh về._,0
39,0Mr3CqCDq3o,2023-03-18 12:01:01,UChvv9xbf36gfMy9nDEPRKjg,TOP 1 TRENDING nào  😍😀😍,0
40,0Mr3CqCDq3o,2023-03-18 12:01:08,UCgHFMKx5O07FVEr3BrOJhbg,Lên top nào ae,0
41,0Mr3CqCDq3o,2023-03-18 12:01:08,UCxm4oJqRbW1cx4_nHnfsliA,Thích❤❤❤,0
42,0Mr3CqCDq3o,2023-03-18 12:01:29,UCoSuwV276NSrDd1pSnj9CFw,Chờ lâu lắm r a nal ơi h mới đc nghe❤❤,0
43,0Mr3CqCDq3o,2023-03-18 12:01:38,UCc1y5oAJZrKkhoL7Cem-ouQ,Sáng mai lại có nhạc mới nghe rùi😂,0
44,0Mr3CqCDq3o,2023-03-18 12:01:49,UC4IMITvugw9IvxjD_Lc1U0Q,. Lên zing mp3 luôn anh ơi 🎉,0
45,0Mr3CqCDq3o,2023-03-18 12:01:58,UCUBw8AB5Pz403CBAkMHNa6A,Tuyệt vời lắm e ơi a chúc clip hành công ❤,0
46,0Mr3CqCDq3o,2023-03-18 12:02:04,UCipjnLXB6eGTNrJ6tuSLR-g,Trông chờ vá🎉🎉,0
47,0Mr3CqCDq3o,2023-03-18 12:02:09,UCW9UnRlzjNitJDP8yZF_twA,Đợi sáng giờ,0
48,0Mr3CqCDq3o,2023-03-18 12:02:10,UC9rZ3zKZ7yLMSLxGKbJzX0Q,Chờ trông mv nôn quá,0
49,0Mr3CqCDq3o,2023-03-18 12:02:13,UC4F4tIFmgrxDeuO2qZj1MHQ,"3, 2, 1.",0
50,0Mr3CqCDq3o,2023-03-18 12:02:17,UCgsk1RkJKBG6osSFPdb3LTw,Hóng quá ❤❤,0
51,0Mr3CqCDq3o,2023-03-18 12:02:17,UCOmbkIpRS2TmDBII68PNQmw,Hay quá ah ơi🥰🥰,0
52,0Mr3CqCDq3o,2023-03-18 12:02:19,UCDy8yQmJ7g3NacZzHKKaYzg,Mong chờ cái siêu phẩm này,0
53,0Mr3CqCDq3o,2023-03-18 12:02:23,UCET6lg8Hfbew2BaHR60ImKA,Anh nal Mãi đỉnh,0
54,0Mr3CqCDq3o,2023-03-18 12:02:23,UCqj5SipplBMWZakl0Stgrbw,Hello max súp ae,0
55,0Mr3CqCDq3o,2023-03-18 12:02:27,UCO7ATuj8GU-nyYa9esJRpHg,E chúc MV của a sẽ thành công tốt đẹp nhé,0
56,0Mr3CqCDq3o,2023-03-18 12:02:49,UCO7ATuj8GU-nyYa9esJRpHg,Hay xỉu luôn a ơi,0
57,0Mr3CqCDq3o,2023-03-18 12:02:52,UC8NbcpTnlnBlMvocQqr8kHQ,❤❤❤❤ hay quá a ơi,0
58,0Mr3CqCDq3o,2023-03-18 12:03:18,UCIad7qnWC5nOKFZTIQVslYA,Hi a ❤❤❤❤❤❤❤❤😻😻😻❤❤❤❤❤❤❤❤,0
59,0Mr3CqCDq3o,2023-03-18 12:03:27,UCfIR0WlKYUKs5eTyrUH-o9g,Nhiều người chờ bài này lắm ❤❤,0
60,0Mr3CqCDq3o,2023-03-18 12:03:46,UCK4zjJt7CtDat_N0vjZYx_Q,Bài nhạc của ah nal bài nào cững bánh cuốn🎉🎉,0
61,0Mr3CqCDq3o,2023-03-18 12:04:02,UCb03nZG_baaebnK7FiXtsFQ,"남자, 나는 당신을 가장 사랑합니다 인생에서 사랑의 말 아침은 더 이상 침묵하지 않는다 내 커플이 지속되도록 계산했어",0
62,0Mr3CqCDq3o,2023-03-18 12:04:06,UCnSwdiwJ7kQQP3x82nd-Z4g,Hay quá ah ơi Nal mãi đỉnh ❤❤❤,0
63,0Mr3CqCDq3o,2023-03-18 12:04:10,UC-OWZNOHs0XqBjadAMw6rEQ,Hay quá anh ơi tuyệt vời mang đậm chất miền Tây luôn,0
64,0Mr3CqCDq3o,2023-03-18 12:04:12,UCWDE90doQ4JBq4axOmi5G1Q,Bài này hát karaoke có vẻ được nhe 😂😂😂,0
65,0Mr3CqCDq3o,2023-03-18 12:04:33,UCMbJEpepHflTC8m3d4mczKQ,Hống bữa giờ luôn ❤,0
66,0Mr3CqCDq3o,2023-03-18 12:04:41,UCqQm8C-kR-iz0NW48fBD7-g,❤Em được anh bắt tay ở sóc trăng sờ đầu nè anh.Nay thi gk2 xong mới xem đc😮.chị gái đẹp quá,0
67,0Mr3CqCDq3o,2023-03-18 12:04:57,UCGri3N76AVFrJg7pxgYMALw,❤❤❤❤❤,0
68,0Mr3CqCDq3o,2023-03-18 12:04:58,UCWmQonx_O6wfF9b_Iu-ta9A,Hôm nay nal về FASV hát sẽ đi xem 🥰🥰,0
69,0Mr3CqCDq3o,2023-03-18 12:05:02,UCyNTGCJyW_5Z3udxXiVuwJA,🎉,0
70,0Mr3CqCDq3o,2023-03-18 12:05:03,UCIujV5IfggoS3PW46h-KGqA,Demo là biết hic rùi anh nall ơi,0
71,0Mr3CqCDq3o,2023-03-18 12:05:13,UCHs3GqD4PtOphKAQbA4mVnQ,Lại 1 siêp phẩm mới,0
72,0Mr3CqCDq3o,2023-03-18 12:05:16,UCzF7FfqEIOLqga0LEvkdGRg,Hay quá,0
73,0Mr3CqCDq3o,2023-03-18 12:05:19,UC_qNqTzSP-2o8kiBmOhng_Q,Hay quá đi ah ơi 😊,0
74,0Mr3CqCDq3o,2023-03-18 12:05:27,UCnaadlMEgr43ponzlfWu2yg,Chúc MV lên top nha Anh,0
75,0Mr3CqCDq3o,2023-03-18 12:05:33,UC_whA-idqfScgJ5AbmJtO_g,Cmt 26 nha nal ơi 😋🥰💕,0
76,0Mr3CqCDq3o,2023-03-18 12:05:34,UCNv1cF7LUaUGisYDSfFZgHg,❤❤❤❤❤,0
77,0Mr3CqCDq3o,2023-03-18 12:05:34,UCSBTk8kECzIh3kL-AfNI4Ww,Quá hay a ơi,0
78,0Mr3CqCDq3o,2023-03-18 12:05:39,UCnMBgQZ-2wbEWOVEjGs-fuA,Ra karaoke đi ạ,0
79,0Mr3CqCDq3o,2023-03-18 12:05:40,UCWCxCZ2od0Q4djXczqjZQWQ,Nhạc miền tay nge đã lổ tayyy,0
80,0Mr3CqCDq3o,2023-03-18 12:05:41,UCDGYCiS3CJZ_MWaMP5rzLsQ,Nal chỉ cần đơn giản và mộc mạc như thế sẽ được khán giả từ trẻ đến già đón nhận sản phẩm âm nhạc của mình!❤❤❤,0
81,0Mr3CqCDq3o,2023-03-18 12:05:48,UCBTKzNaM7ca5wUAwx2cnISA,Tik Tok tới công chiện,0
82,0Mr3CqCDq3o,2023-03-18 12:05:52,UCvG6NP_FF1b2QVzKdMsJXZg,Nhạc dân ca của anh nal là em thấy khoái r nha,0
83,0Mr3CqCDq3o,2023-03-18 12:05:58,UC5oJzjYdy90_rFiod0KWP7A,Hay quá 😊😊,0
84,0Mr3CqCDq3o,2023-03-18 12:05:58,UCDdzF9OFGv9QNh3WXPAyziQ,Nhạc hay,0
85,0Mr3CqCDq3o,2023-03-18 12:06:05,UCduTWfvUJ8ukEzb0nKNae-g,Hay tuyệt Anh ơi >,0
86,0Mr3CqCDq3o,2023-03-18 12:06:05,UCmgw5xAS2ejhQP8bpmM0TTg,Good ❤❤❤❤❤,0
