videoId,updateAt,authorId,cmt,label
fyMgBQioTLo,2023-03-02 16:03:13,UC7yc2ObxAqG07-EYawk2veA,có mv thật,0
fyMgBQioTLo,2023-03-02 16:04:44,UC_hUUVhHmUmA_OVJbiO6DDQ,t thật sự tò mò cảm giác của wrxdie lúc này thế nào :),0
fyMgBQioTLo,2023-03-02 16:13:49,UCFhqbwjs2RNGeqZpmccuMkg,Khởi chiếu giờ đẹp ghê 23:23 ngày 2/3 🫶🏻,0
fyMgBQioTLo,2023-03-02 16:14:22,UC6SP6vcZI98kMtLjRTzdBcQ,cảm giác của wrxdie sẽ ra sao ta :))),0
fyMgBQioTLo,2023-03-02 16:18:34,UCXDndFS8Oxr3PWGhJ7RkHMQ,nể mấy người cmt toxic vl :)) làm như chuyện tình cảm ng ta mấy ô bà biết hết được ý ở đó mà khóc thuê nữa .,0
fyMgBQioTLo,2023-03-02 16:19:38,UCKyy-dVIOMgv-IMWkMMddxQ,=)))),0
fyMgBQioTLo,2023-03-02 16:20:45,UCDlqOLCaJPy0FHbyLoD3tQQ,Ủa,0
fyMgBQioTLo,2023-03-02 16:21:20,UCDlqOLCaJPy0FHbyLoD3tQQ,Ok 23:23,0
fyMgBQioTLo,2023-03-02 16:21:30,UCU2sZgSe-40u6bbHCeDPyPw,Đời lạ tht 😂,0
fyMgBQioTLo,2023-03-02 16:23:55,UCSxPOlKW94jA9W6gGQ6Nl1Q,❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:24:25,UC2b-PQ3bDO4qossdSrI4dZg,Hôm nay đúng đỉnh =)) được anh chị cho nghe cả kho nhạc hay ạ,0
fyMgBQioTLo,2023-03-02 16:24:49,UCu01JkrLwRgQL0pd8s-s2_Q,❤️‍🩹❤️‍🩹❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:24:55,UCRHQGZlIgDsfqUJ8mrjl2Ew,thế là có qlai ko để bít,0
fyMgBQioTLo,2023-03-02 16:25:00,UCrqMbtlwxqZJqAX9_NENHUw,Anh đã ổn hơn M suy K,0
fyMgBQioTLo,2023-03-02 16:25:25,UCWcYjaGSWKHn7vTblKdj3pg,Đến để thẩm nhạc chứ có lúc nào cũng m mới cả c ??,0
fyMgBQioTLo,2023-03-02 16:26:05,UC8e5Uhy9nxDSPDknOq2rbtg,on top tlinh ơiiii ❤❤❤,0
fyMgBQioTLo,2023-03-02 16:26:37,UCwrL0m4FLtOlLE6ec2PWNzQ,yes sir,0
fyMgBQioTLo,2023-03-02 16:26:38,UCUU-FMFKUTISfrnGasFjzng,Slay ✨❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:26:44,UCjNcAa1Ao26oeEvtdnWsJbA,vl lời bài hát như thế này =)))))))))) chị yêu ai vậy c ơi,0
fyMgBQioTLo,2023-03-02 16:26:45,UClgQBGpHxaSnuog5rX-V0ew,Bài này hay quá bé ơi ❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:26:52,UCM2Ecn-b7J252TKXZi9DAfg,Cxng hay,0
fyMgBQioTLo,2023-03-02 16:27:07,UC46XzjFfvcrZuIpVAGQbqaw,Buồn thật m.n ạ,0
fyMgBQioTLo,2023-03-02 16:27:07,UCXe2t8XckbYoDrb75jHBHpg,Pánh cuốn ❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:27:11,UCCfPKemdapkagl1WctyBPuQ,"nếu chúng ta bình tĩnh hơn, nếu ngày đó ở lại thì có lẽ chúng ta còn nhau và còn chúng ta ❤️‍🩹",0
fyMgBQioTLo,2023-03-02 16:27:21,UCB0XOckXFOvEneDqHT4vgEQ,Suy vllllllllllll,0
fyMgBQioTLo,2023-03-02 16:27:24,UCagYVYaqwMacK3MsbvU58zg,Nghe câu đầu tiên đã thấy hay rồi 🥲🥺,0
fyMgBQioTLo,2023-03-02 16:27:30,UCB0XOckXFOvEneDqHT4vgEQ,😢😢😢😢😢😢😢😢,0
fyMgBQioTLo,2023-03-02 16:27:40,UCbdEf5Ylr7FPL9VjuX1yvZg,1%,0
fyMgBQioTLo,2023-03-02 16:27:57,UCOo99p_fskfdCKROLhQlPFA,Không biết đây có phải là 1% đó?,0
fyMgBQioTLo,2023-03-02 16:28:02,UCFWffdNVDWzHGuzZMqd2Dyg,1% ...,0
fyMgBQioTLo,2023-03-02 16:28:09,UCNLTJebiA0eSstPq3cAxo_w,hay vl,0
fyMgBQioTLo,2023-03-02 16:28:10,UCohlPyeXOgiUod7MlzHXOHw,bài nào của chị cũng siêu cuốnnnn ❤❤❤,0
fyMgBQioTLo,2023-03-02 16:28:21,UCmIhNCopAsnyeh9oxQFvDTA,Em xi cay im lặng và nghe =(,0
fyMgBQioTLo,2023-03-02 16:28:25,UCpx6BisNjnUoAJbPXa49vBg,slayy,0
fyMgBQioTLo,2023-03-02 16:28:32,UCjjrJE5hwbA8GoFkUfI-yiQ,Ui đỉnh quá huhuuu,0
fyMgBQioTLo,2023-03-02 16:28:44,UCCEijSUXTgMg7kkC4GFhRug,❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:28:57,UCgcTj-xYjtIWRDAhVhlj9mg,Ghiền thiệt chá :>>,0
fyMgBQioTLo,2023-03-02 16:29:03,UCQnMNk-QhtARxWXhTMkVlrQ,Thôi dẹp hết đi hay vcl :),0
fyMgBQioTLo,2023-03-02 16:29:05,UC4HyBDboItDIiQ1mRRYK-rQ,❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:29:06,UCRHQGZlIgDsfqUJ8mrjl2Ew,nhạc hay quá đi nghiệnnnnnn cmn luânnnnnnnn 😊😊😊😊,0
fyMgBQioTLo,2023-03-02 16:29:11,UCvnpeZT_XyYZxR2HOk48TMQ,Nghe mà khóc,0
fyMgBQioTLo,2023-03-02 16:29:14,UCMvVo5CZrXEVTXb8mB5Vq8Q,❤️‍🩹,0
fyMgBQioTLo,2023-03-02 16:29:20,UCcmAZWdo2W7julMYdc_mLsg,🥺🙏❤️,0
fyMgBQioTLo,2023-03-02 16:29:20,UCiwKOow3ar8gOabB7WV5x6g,liệu lúc đó bên nhau,0
fyMgBQioTLo,2023-03-02 16:29:22,UCnmTWXgkBNCs8rn_GaE01SA,Thế cuối cùng là yêu ai =))))),0
fyMgBQioTLo,2023-03-02 16:29:30,UCeQ6BiUYuw7duPnt3Lr1mwg,HAY QUÁ LUÔN,0
fyMgBQioTLo,2023-03-02 16:29:33,UCmgZwGXmrU8og0AvrdvU-LQ,Tự nhiên khóc ngang… dì dị chờiiiiii,0
fyMgBQioTLo,2023-03-02 16:29:35,UChBU_m0_VIZzzdnFFi_BjEw,Cuốnnnn,0
fyMgBQioTLo,2023-03-02 16:29:40,UCExGyhpH6DGlMrJdgZvetRQ,thực sự là quá hayyyy😭😭👏👏,0
fyMgBQioTLo,2023-03-02 16:29:40,UCXvno7vbjyqx2rvIxAMjJsg,hay hơn ghệ iu dấu của em hơn gấp 23232323 triệu tỉ lần,0
fyMgBQioTLo,2023-03-02 16:29:47,UC-lcrnL5NFG0nROefOmdbJA,"nếu ngày đó quay trở lại, liệu chúng ta còn có nhau?",0
fyMgBQioTLo,2023-03-02 16:29:55,UCStemfAQBZQmikUhxuhXOqg,sao chị chọn giờ muộn để đăng thế làm em bị lỡ mất :(((,0
fyMgBQioTLo,2023-03-02 16:29:58,UCc3CxfJs3eLNdm8A-rzifPw,"Aaa chị tôi ơi, tôi iu chị lắm lắm, chị luôn mang cho em mấy cái cảm giác lạ qua từng bài hát. Thật sự rất nể và thương tlinhhh😭😭💐",0
fyMgBQioTLo,2023-03-02 16:29:59,UCnzXlwmvN1vBdbVTqqBjrBw,hayy,0
fyMgBQioTLo,2023-03-02 16:30:00,UCHvU18-bfO92ljuH7y1tU7g,"nếu lúc ấy thì không có bây giờ , nếu buông tay cũng có nghĩa nên dừng lại",0
fyMgBQioTLo,2023-03-02 16:30:04,UCxJUzHvGH8-FYBuzlnMED6Q,Hay ><,0
fyMgBQioTLo,2023-03-02 16:30:06,UC_ufHHr9mExJrFSZYsIldrg,RESPECT,0
fyMgBQioTLo,2023-03-02 16:30:07,UCetgbC6J0kIo5n4q3-kTSpw,Hay quá,0
fyMgBQioTLo,2023-03-02 16:30:10,UC0VmRhWJuxa_RjQKkWTrBPA,"tôi đã khóc khi nghe bài này , thật sự quá cảm xúc :(",0
fyMgBQioTLo,2023-03-02 16:30:11,UCOfULZLIXYYCNURVeHdtgQQ,nhạc chị ta phê pha vcl,0
fyMgBQioTLo,2023-03-02 16:30:18,UCwQOAPF-pYDXm6FLDjQ7O7w,Hay quá chị ơiii,0
fyMgBQioTLo,2023-03-02 16:30:21,UCH_d-qdlQGvkV-xcjxJm_PQ,huhu nhạc hay vãiiii❤❤❤,0
fyMgBQioTLo,2023-03-02 16:30:31,UCmbZlR84g_EIylHFKrH4t3Q,chiu vc ai kéo tui ra đi :)),0
fyMgBQioTLo,2023-03-02 16:30:34,UCcUcKSTD3-xLDlEHefetkVw,❤🩹,0
