videoId,updateAt,authorId,cmt,label
fyMgBQioTLo,2023-03-04 00:08:08,UC3HpZILe2txVl2Wd6OTrUtg,.,0
fyMgBQioTLo,2023-03-04 00:15:14,UCxffrEYdRUx6l7SyG-Rziag,Thiếu chú rể namphamhoai hả mng,0
fyMgBQioTLo,2023-03-04 00:19:04,UCjXNyKqKcHvJPE-1cnDqlKQ,"Trời ơi, từng câu chữ đúng như cảm xúc câu chuyện của em quá trời ❤",0
fyMgBQioTLo,2023-03-04 00:28:50,UCFerRnGG8K2HEJmb_7spo7A,Nghe phát thấm luôn,0
fyMgBQioTLo,2023-03-04 00:39:29,UCwpI902Zfi6t8Q54tZyhwZg,Cảm xúc,0
fyMgBQioTLo,2023-03-04 00:42:20,UCfw-ivhRKyyT4JU9McpsfPQ,Tốp 2 rồi,0
fyMgBQioTLo,2023-03-04 00:43:08,UCfw-ivhRKyyT4JU9McpsfPQ,Tiến tới 1 triệu vieuw thôi,0
fyMgBQioTLo,2023-03-04 00:44:23,UCKKWh02lZLC3xJkHnRJ84QA,Hóng mck ra bài trả lời,0
fyMgBQioTLo,2023-03-04 00:45:16,UCrXnQLDZZBDCOMtKF_ZrVgA,Cuốn vl chị tui ơi,0
fyMgBQioTLo,2023-03-04 00:46:58,UCCivTjmXwY5X9hYy5AXmsNg,❤️,0
fyMgBQioTLo,2023-03-04 00:47:42,UCBBGPYDk-pksUarRmjTzxLw,bsbsbd,0
fyMgBQioTLo,2023-03-04 01:01:00,UCSn5b9w0nhYbDdBqSVDjXkA,Bài hát hay ghê,0
fyMgBQioTLo,2023-03-04 01:01:22,UCo0r3-sXXFVnkvqklGftL3w,Quá hay,0
fyMgBQioTLo,2023-03-04 01:08:36,UCH_ltb_LFZue7FZwd1gWVVA,"Nghe bài này hơn chục lần r mà vẫn khóc. Nyc t vs t đã từng ct, nhưng h quay lại rồi. Nhưng mà nghĩ lại khoảng tgian ct như trong lời bài hát zị đó nên khóc theo.",0
fyMgBQioTLo,2023-03-04 01:09:57,UCERtuSuG_9lkL2C2devZFSA,đúng là nỗi lòng con gái khi yêu,0
fyMgBQioTLo,2023-03-04 01:11:43,UCNYHUHapFboUSNUetQz0CeA,"Bài này hay đó, nghe rất truyền cảm, hay như vậy mà sao ít lượt xem thế không biết",0
fyMgBQioTLo,2023-03-04 01:13:34,UCZXpoyqEbRArTvyjX-N4gAQ,Thấm,0
fyMgBQioTLo,2023-03-04 01:15:57,UCcOSO1Aux4Ec5X_z2mjpLwg,Deeply feeling= nếu lúc đó+ đọc lại tin nhắn vs ngyc+ yankee candle mùi lavender 😢😢🐉,0
fyMgBQioTLo,2023-03-04 01:21:14,UC7jbCqsKxLR7a5eZtCFuAUg,hmmmm,0
fyMgBQioTLo,2023-03-04 01:27:51,UC8I4_zfHi9prV3_2EPMiawA,it makes me think of my ex :(,0
